"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url"
"Smart Hyde Park Inn Hostel","Quartiere di Westminster, Londra Mostra sulla mappa","£12","1 notte, 1 adulto","Posto Letto in Dormitorio Misto con 9 Letti e Bagno Privato","1 letto a castello","7,0","Buono","4.053 recensioni","https://www.booking.com/hotel/gb/smart-hyde-park-inn.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=26275521_118336571_0_2_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=2&highlighted_blocks=26275521_118336571_0_2_0&hpos=1&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=26275521_118336571_0_2_0__1193&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Smart Hyde Park View Hostel","Quartiere di Westminster, Londra Mostra sulla mappa","£12","1 notte, 1 adulto","Posto Letto in Dormitorio Misto per 9 Persone con Bagno","1 letto a castello","7,3","Buono","3.457 recensioni","https://www.booking.com/hotel/gb/smart-hyde-park-view.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=26274305_171283511_0_2_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=3&highlighted_blocks=26274305_171283511_0_2_0&hpos=2&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=26274305_171283511_0_2_0__1193&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Smart Russell Square Hostel","Camden, Londra Mostra sulla mappa","£12","1 notte, 1 adulto","Letto Singolo in Dormitorio Misto con 15 Letti e Bagno Privato","1 letto a castello","7,1","Buono","6.865 recensioni","https://www.booking.com/hotel/gb/smart-russell-square.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=26649624_119603304_0_2_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=4&highlighted_blocks=26649624_119603304_0_2_0&hpos=3&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=26649624_119603304_0_2_0__1199&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Generator London","Camden, Londra Mostra sulla mappa","£13","1 notte, 1 adulto","Letto a Castello in Dormitorio Femminile","1 letto a castello","7,5","Buono","5.901 recensioni","https://www.booking.com/hotel/gb/thegenerator.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=12723007_139595433_0_2_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=5&highlighted_blocks=12723007_139595433_0_2_0&hpos=4&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=12723007_139595433_0_2_0__1299&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"London Waterloo Hostel","Lambeth, Londra Mostra sulla mappa","£17","1 notte, 1 adulto","Posto Letto in Dormitorio Misto con 6 Letti","1 letto a castello","6,3","Punteggio medio","888 recensioni","https://www.booking.com/hotel/gb/london-eye-hostel.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=27030609_243634028_1_1_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=6&highlighted_blocks=27030609_243634028_1_1_0&hpos=5&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=27030609_243634028_1_1_0__1695&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Corbigoe Hotel","Quartiere di Westminster, Londra Mostra sulla mappa","£18","1 notte, 1 adulto","Camera Singola Piccola","1 letto singolo","4,6","Punteggio medio","1.756 recensioni","https://www.booking.com/hotel/gb/corbigoe.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=3619907_279641952_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=7&highlighted_blocks=3619907_279641952_0_0_0&hpos=6&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=3619907_279641952_0_0_0__1800&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Strand Continental","Quartiere di Westminster, Londra Mostra sulla mappa","£16","1 notte, 1 adulto","Posto Letto in Dormitorio Misto con 6 Letti","1 letto a castello","6,5","Punteggio medio","1.279 recensioni","https://www.booking.com/hotel/gb/strand-continental.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=25202209_114954826_0_1_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=8&highlighted_blocks=25202209_114954826_0_1_0&hpos=7&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=25202209_114954826_0_1_0__1620&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Saint James Backpackers","Kensington e Chelsea, Londra Mostra sulla mappa","£20","1 notte, 1 adulto","Posto Letto in Dormitorio Misto con 4 Letti","1 letto a castello","7,4","Buono","698 recensioni","https://www.booking.com/hotel/gb/saint-james-backpackers.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=57199404_88652585_0_17_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=9&highlighted_blocks=57199404_88652585_0_17_0&hpos=8&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=57199404_88652585_0_17_0__1980&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Anwar House","Kensington e Chelsea, Londra Mostra sulla mappa","£23","1 notte, 1 adulto","Camera Matrimoniale/Doppia con Letti Singoli con Bagno","2 letti singoli","6,3","Punteggio medio","1.145 recensioni","https://www.booking.com/hotel/gb/anwar-house.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=132345103_285060096_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=10&highlighted_blocks=132345103_285060096_0_0_0&hpos=9&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=132345103_285060096_0_0_0__2300&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Cromwell International Hotel","Kensington e Chelsea, Londra Mostra sulla mappa","£23","1 notte, 1 adulto","Camera Singola Superior","","6,1","Punteggio medio","3.793 recensioni","https://www.booking.com/hotel/gb/cromwell-international-hotel.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=23074816_88652210_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=11&highlighted_blocks=23074816_88652210_0_0_0&hpos=10&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=23074816_88652210_0_0_0__2340&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
